16:05:45.099 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8619 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:09:02.004 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:09:02.004 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.20]
16:09:02.032 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:09:02.033 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 950 ms
16:09:02.144 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [LogHelper.java:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
16:09:02.172 [restartedMain] INFO  org.hibernate.Version [Version.java:44] - HHH000412: Hibernate ORM core version 6.5.0.CR2
16:09:02.195 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [RegionFactoryInitiator.java:50] - HHH000026: Second-level cache disabled
16:09:02.323 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [SpringPersistenceUnitInfo.java:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
16:09:02.337 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-1 - Starting...
16:09:02.512 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:554] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@e7182b
16:09:02.513 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-1 - Start completed.
16:09:02.550 [restartedMain] WARN  org.hibernate.orm.deprecation [DialectFactoryImpl.java:153] - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:09:03.116 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:09:03.186 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:09:03.620 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory [QueryEnhancerFactory.java:49] - Hibernate is in classpath; If applicable, HQL parser will be used.
16:09:03.971 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:236] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:09:04.229 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4da319c7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@42dee693, org.springframework.security.web.context.SecurityContextHolderFilter@945e66, org.springframework.security.web.header.HeaderWriterFilter@5e72fc57, org.springframework.web.filter.CorsFilter@913de53, org.springframework.security.web.authentication.logout.LogoutFilter@7ea3a0be, com.example.runners.filters.JWTFilter@10e7b0bf, com.example.runners.filters.LoginFilter@45dfee45, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@402be0dc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6242d628, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70806213, org.springframework.security.web.session.SessionManagementFilter@1c2f32fc, org.springframework.security.web.access.ExceptionTranslationFilter@d87b556, org.springframework.security.web.access.intercept.AuthorizationFilter@51f35ead]
16:09:04.463 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java:59] - LiveReload server is running on port 35729
16:09:04.481 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
16:09:04.490 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 8080 (http) with context path '/'
16:09:04.498 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:56] - Started RunnersApplication in 3.695 seconds (process running for 3.987)
16:09:04.692 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:09:04.692 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:532] - Initializing Servlet 'dispatcherServlet'
16:09:04.693 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:554] - Completed initialization in 1 ms
16:09:04.706 [http-nio-8080-exec-1] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:40] - authorization:Bearer eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6InRoZWRldi5qdW55b3VuZ0BnbWFpbC5jb20iLCJyb2xlIjoiVVNFUiIsImlhdCI6MTcxNzY1NDk5MCwiZXhwIjoxNzE3NjU4NTkwfQ.wWyidV7Z1BE_EOuUdcb8f6AfpP_SK3CwUqkn2y731JU
16:11:26.959 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:650] - Closing JPA EntityManagerFactory for persistence unit 'default'
16:11:26.961 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:349] - HikariPool-1 - Shutdown initiated...
16:11:26.986 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:351] - HikariPool-1 - Shutdown completed.
16:11:28.870 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8729 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:11:28.871 [restartedMain] INFO  c.example.runners.RunnersApplication [SpringApplication.java:655] - No active profile set, falling back to 1 default profile: "default"
16:11:28.894 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:11:28.894 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [DeferredLog.java:252] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:11:29.325 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:11:29.361 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 31 ms. Found 3 JPA repository interfaces.
16:11:29.758 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:11:29.764 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
16:11:29.765 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:11:29.765 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.20]
16:11:29.790 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:11:29.790 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 896 ms
16:11:29.890 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [LogHelper.java:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
16:11:29.914 [restartedMain] INFO  org.hibernate.Version [Version.java:44] - HHH000412: Hibernate ORM core version 6.5.0.CR2
16:11:29.935 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [RegionFactoryInitiator.java:50] - HHH000026: Second-level cache disabled
16:11:30.059 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [SpringPersistenceUnitInfo.java:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
16:11:30.074 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-1 - Starting...
16:11:30.247 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:554] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@126b8c62
16:11:30.248 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-1 - Start completed.
16:11:30.284 [restartedMain] WARN  org.hibernate.orm.deprecation [DialectFactoryImpl.java:153] - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:11:30.832 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:11:30.908 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:11:31.340 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory [QueryEnhancerFactory.java:49] - Hibernate is in classpath; If applicable, HQL parser will be used.
16:11:31.630 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:236] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:11:31.848 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@66b6251d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27eae689, org.springframework.security.web.context.SecurityContextHolderFilter@58822555, org.springframework.security.web.header.HeaderWriterFilter@1494a345, org.springframework.web.filter.CorsFilter@5594516c, org.springframework.security.web.authentication.logout.LogoutFilter@591ce21b, com.example.runners.filters.JWTFilter@2f257cc3, com.example.runners.filters.LoginFilter@786c3af7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@42040d56, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4bf567ab, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@8c245dd, org.springframework.security.web.session.SessionManagementFilter@56719aa0, org.springframework.security.web.access.ExceptionTranslationFilter@3a38587d, org.springframework.security.web.access.intercept.AuthorizationFilter@5ab50727]
16:11:32.067 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java:59] - LiveReload server is running on port 35729
16:11:32.084 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
16:11:32.092 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 8080 (http) with context path '/'
16:11:32.099 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:56] - Started RunnersApplication in 3.475 seconds (process running for 3.955)
16:11:34.466 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:11:34.466 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:532] - Initializing Servlet 'dispatcherServlet'
16:11:34.467 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java:554] - Completed initialization in 1 ms
16:11:34.478 [http-nio-8080-exec-2] INFO  c.example.runners.filters.JWTFilter [JWTFilter.java:40] - authorization:Bearer eyJhbGciOiJIUzI1NiJ9.eyJ1c2VybmFtZSI6InRoZWRldi5qdW55b3VuZ0BnbWFpbC5jb20iLCJyb2xlIjoiVVNFUiIsImlhdCI6MTcxNzY1NDk5MCwiZXhwIjoxNzE3NjU4NTkwfQ.wWyidV7Z1BE_EOuUdcb8f6AfpP_SK3CwUqkn2y731JU
16:14:33.687 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener [LocalDevToolsAutoConfiguration.java:211] - Restarting due to 10 class path changes (0 additions, 4 deletions, 6 modifications)
16:14:33.690 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Stopping ProtocolHandler ["http-nio-8080"]
16:14:33.697 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:650] - Closing JPA EntityManagerFactory for persistence unit 'default'
16:14:33.699 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:349] - HikariPool-1 - Shutdown initiated...
16:14:33.703 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:351] - HikariPool-1 - Shutdown completed.
16:14:33.775 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:50] - Starting RunnersApplication using Java 17.0.7 with PID 8729 (/Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project/build/classes/java/main started by dev_june in /Users/dev_june/Library/Mobile Documents/com~apple~CloudDocs/workspace/Spring-project)
16:14:33.775 [restartedMain] INFO  c.example.runners.RunnersApplication [SpringApplication.java:655] - No active profile set, falling back to 1 default profile: "default"
16:14:33.893 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:14:33.902 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:211] - Finished Spring Data repository scanning in 8 ms. Found 3 JPA repository interfaces.
16:14:33.976 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:111] - Tomcat initialized with port 8080 (http)
16:14:33.977 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8080"]
16:14:33.977 [restartedMain] INFO  o.a.catalina.core.StandardService [DirectJDKLog.java:173] - Starting service [Tomcat]
16:14:33.977 [restartedMain] INFO  o.a.catalina.core.StandardEngine [DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/10.1.20]
16:14:33.984 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
16:14:33.985 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 208 ms
16:14:34.015 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper [LogHelper.java:31] - HHH000204: Processing PersistenceUnitInfo [name: default]
16:14:34.017 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator [RegionFactoryInitiator.java:50] - HHH000026: Second-level cache disabled
16:14:34.021 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [SpringPersistenceUnitInfo.java:87] - No LoadTimeWeaver setup: ignoring JPA class transformer
16:14:34.022 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:109] - HikariPool-2 - Starting...
16:14:34.036 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool [HikariPool.java:554] - HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@65de451b
16:14:34.036 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:122] - HikariPool-2 - Start completed.
16:14:34.038 [restartedMain] WARN  org.hibernate.orm.deprecation [DialectFactoryImpl.java:153] - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
16:14:34.108 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [JtaPlatformInitiator.java:59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:14:34.144 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:14:34.247 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:236] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:14:34.308 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain [DefaultSecurityFilterChain.java:54] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@bc308e2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@27b5ace6, org.springframework.security.web.context.SecurityContextHolderFilter@3d50fea4, org.springframework.security.web.header.HeaderWriterFilter@72c2729, org.springframework.web.filter.CorsFilter@3be86793, org.springframework.security.web.authentication.logout.LogoutFilter@1b66e783, com.example.runners.filters.JWTFilter@51899853, com.example.runners.filters.LoginFilter@421e0e98, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2bb4657f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4dc71a4f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@484648a1, org.springframework.security.web.session.SessionManagementFilter@9d99e8, org.springframework.security.web.access.ExceptionTranslationFilter@2246868f, org.springframework.security.web.access.intercept.AuthorizationFilter@6611834e]
16:14:34.362 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer [OptionalLiveReloadServer.java:59] - LiveReload server is running on port 35729
16:14:34.371 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-8080"]
16:14:34.372 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java:243] - Tomcat started on port 8080 (http) with context path '/'
16:14:34.376 [restartedMain] INFO  c.example.runners.RunnersApplication [StartupInfoLogger.java:56] - Started RunnersApplication in 0.62 seconds (process running for 186.232)
16:14:34.378 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener [ConditionEvaluationDeltaLoggingListener.java:63] - Condition evaluation unchanged
16:15:22.566 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:650] - Closing JPA EntityManagerFactory for persistence unit 'default'
